date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2021-07-28,61.18,61.419998,60.174999,60.805,60.805,7572200.0,7572200.0,-0.75,-0.613,121.6,"July 28, 21",-0.00613
2021-07-29,61.25,62.035,61.209999,61.560001,61.560001,6752400.0,6752400.0,0.62,0.506,123.20333,"July 29, 21",0.00506
2021-07-30,60.415001,61.305,60.355,60.625,60.625,6612800.0,6612800.0,0.42,0.348,121.52333,"July 30, 21",0.00348
2021-08-02,61.395,61.66,60.150002,60.25,60.25,7308000.0,7308000.0,-2.29,-1.865,121.37333,"August 02, 21",-0.01865
2021-08-03,60.605,61.775002,59.654999,61.724998,61.724998,9525600.0,9525600.0,2.24,1.848,122.10667,"August 03, 21",0.01848
2021-08-04,61.150002,61.424999,60.724998,60.845001,60.845001,6468200.0,6468200.0,-0.61,-0.499,121.99667,"August 04, 21",-0.00499
2021-08-05,61.345001,62.014999,61.195,61.959999,61.959999,5057000.0,5057000.0,1.23,1.003,123.45,"August 05, 21",0.01003
2021-08-06,62.099998,62.459999,61.98,62.310001,62.310001,6092200.0,6092200.0,0.42,0.338,124.5,"August 06, 21",0.00338
2021-08-09,62.264999,62.400002,61.764999,62.115002,62.115002,4908800.0,4908800.0,-0.3,-0.241,124.18667,"August 09, 21",-0.00241
2021-08-10,62.294998,62.654999,61.985001,62.305,62.305,7143600.0,7143600.0,0.02,0.016,124.63,"August 10, 21",0.00016
2021-08-11,62.825001,62.834999,62.299999,62.759998,62.759998,5811400.0,5811400.0,-0.13,-0.103,125.26333,"August 11, 21",-0.00103
2021-08-12,62.700001,63.41,62.314999,63.314999,63.314999,6878800.0,6878800.0,1.23,0.981,126.02333,"August 12, 21",0.00981
2021-08-13,63.525002,63.695,63.330002,63.665001,63.665001,7744400.0,7744400.0,0.28,0.22,127.13,"August 13, 21",0.0022
2021-08-16,63.119999,64.184998,62.384998,64.139999,64.139999,9265000.0,9265000.0,2.04,1.616,127.13333,"August 16, 21",0.01616
2021-08-17,62.955002,63.279999,61.505001,62.900002,62.900002,14781800.0,14781800.0,-0.11,-0.087,125.12667,"August 17, 21",-0.00087
2021-08-18,62.415001,63.115002,60.705002,60.834999,60.834999,13303200.0,13303200.0,-3.16,-2.531,123.10667,"August 18, 21",-0.02531
2021-08-19,59.555,61.610001,59.529999,61.049999,61.049999,14684400.0,14684400.0,2.99,2.51,121.46333,"August 19, 21",0.0251
2021-08-20,61.244999,62.689999,61.025002,62.575001,62.575001,9821200.0,9821200.0,2.66,2.172,124.19667,"August 20, 21",0.02172
2021-08-23,63.290001,64.605003,63.290001,64.175003,64.175003,7659400.0,7659400.0,1.77,1.398,128.04667,"August 23, 21",0.01398
2021-08-24,64.514999,64.730003,64.254997,64.495003,64.495003,5245000.0,5245000.0,-0.04,-0.031,128.98667,"August 24, 21",-0.00031
2021-08-25,64.584999,65.125,64.404999,64.870003,64.870003,5116400.0,5116400.0,0.57,0.441,129.6,"August 25, 21",0.00441
2021-08-26,64.75,64.860001,63.695,63.755001,63.755001,9457000.0,9457000.0,-1.99,-1.537,128.20667,"August 26, 21",-0.01537
2021-08-27,64.105003,65.614998,64.080002,65.394997,65.394997,9611400.0,9611400.0,2.58,2.012,130.06,"August 27, 21",0.02012
2021-08-30,65.764999,66.669998,65.650002,66.264999,66.264999,6443600.0,6443600.0,1.0,0.76,132.39,"August 30, 21",0.0076
2021-08-31,66.264999,66.425003,65.735001,66.065002,66.065002,8229400.0,8229400.0,-0.4,-0.302,132.14667,"August 31, 21",-0.00302
2021-09-01,66.445,66.690002,66.010002,66.175003,66.175003,9301600.0,9301600.0,-0.54,-0.406,132.58667,"September 01, 21",-0.00406
2021-09-02,66.790001,67.105003,66.160004,66.724998,66.724998,6092400.0,6092400.0,-0.13,-0.097,133.32333,"September 02, 21",-0.00097
2021-09-03,66.254997,66.904999,65.989998,66.644997,66.644997,7314800.0,7314800.0,0.78,0.589,133.02667,"September 03, 21",0.00589
2021-09-07,66.495003,66.535004,65.625,65.959999,65.959999,8460400.0,8460400.0,-1.07,-0.805,132.08,"September 07, 21",-0.00805
2021-09-08,65.68,66.029999,64.794998,65.720001,65.720001,10266400.0,10266400.0,0.08,0.061,131.03333,"September 08, 21",0.00061
2021-09-09,65.580002,66.415001,64.735001,64.830002,64.830002,10624400.0,10624400.0,-1.5,-1.144,130.65333,"September 09, 21",-0.01144
2021-09-10,65.745003,65.93,63.255001,63.325001,63.325001,12731000.0,12731000.0,-4.84,-3.681,128.34,"September 10, 21",-0.03681
2021-09-13,64.660004,64.785004,62.735001,63.755001,63.755001,18009800.0,18009800.0,-1.81,-1.4,127.51667,"September 13, 21",-0.014
2021-09-14,64.419998,64.519997,62.34,62.764999,62.764999,15547600.0,15547600.0,-3.31,-2.569,126.41667,"September 14, 21",-0.02569
2021-09-15,62.924999,64.540001,62.43,64.339996,64.339996,13475000.0,13475000.0,2.83,2.249,127.54,"September 15, 21",0.02249
2021-09-16,64.065002,64.510002,62.650002,63.98,63.98,13739400.0,13739400.0,-0.17,-0.133,127.42667,"September 16, 21",-0.00133
2021-09-17,63.605,63.834999,61.965,62.16,62.16,18838600.0,18838600.0,-2.89,-2.272,125.30667,"September 17, 21",-0.02272
2021-09-20,59.365002,60.084999,56.830002,59.060001,59.060001,25870200.0,25870200.0,-0.61,-0.514,117.31667,"September 20, 21",-0.00514
